name,position,team,latest_value,expected_points,std_points,selection_freq
Dean Henderson,GK,Crystal Palace,44,0.10256980631233897,0.4,0.0
Deivid Washington de Souza EugÃªnio,FWD,Chelsea,45,7.689021290840526e-08,0.0,0.0
Dele Alli,MID,Everton,48,0.0,0.0,0.0
Demarai Gray,MID,Everton,53,0.0,0.0,0.0
Denis Franchi,GK,Burnley,39,0.0,0.0,0.0
Deniz Undav,FWD,Brighton,55,0.0,0.0,0.0
Dermot Mee,GK,Man Utd,40,0.0,0.0,0.0
Detlef Esapa Osong,FWD,Nott'm Forest,45,0.0,0.0,0.0
Devan Tanton,DEF,Fulham,40,0.0,0.0,0.0
Diego Carlos Santos Silva,DEF,Aston Villa,44,0.016330263093729345,0.0,0.0
Diego Manuel Jadon da Silva Moreira,MID,Chelsea,45,0.0,0.0,0.0
Diogo Teixeira da Silva,MID,Liverpool,80,1.420572792390628,2.85657137141714,0.0
Dion Pereira,MID,Luton,44,0.0,0.0,0.0
Divin Mubama,FWD,West Ham,41,0.0002989101895144272,0.0,0.0
Divock Origi,FWD,Nott'm Forest,50,2.5966072777627134,0.9797958971132712,0.0
Djed Spence,DEF,Spurs,40,0.0,0.0,0.0
Dominic Calvert-Lewin,FWD,Everton,58,1.461254504975182,0.48989794855663565,0.0
Dominic Dos Santos Martins,MID,Luton,45,0.0,0.0,0.0
Dominic Sadi,MID,Bournemouth,45,0.0,0.0,0.0
Dominik Szoboszlai,MID,Liverpool,71,1.4716387653488163,0.7999999999999999,0.0
Donny van de Beek,MID,Man Utd,47,1.5348413231937923e-09,0.0,0.0
Dovydas Sasnauskas,DEF,Sheffield Utd,40,0.0,0.0,0.0
Dwight McNeil,MID,Everton,54,2.9470330900937793,2.4,0.0
Eddie Beach,GK,Chelsea,40,0.0,0.0,0.0
Eddie Nketiah,FWD,Arsenal,51,0.3605390540949931,0.4898979485566356,0.0
Elijah Adebayo,FWD,Luton,49,0.11310425953750988,0.0,0.0
Elijah Campbell,DEF,Everton,40,0.0,0.0,0.0
Ellery Balcombe,GK,Brentford,39,0.0,0.0,0.0
Elliot Anderson,MID,Newcastle,42,0.8870340917563965,0.4898979485566356,0.0
Elliot Thorpe,MID,Luton,45,0.0,0.0,0.0
Ellis Simms,FWD,Everton,45,0.0,0.0,0.0
Emerson Leite de Souza Junior,DEF,Spurs,43,0.508934700486763,0.8,0.0
Emil Krafth,DEF,Newcastle,44,0.5158657064676435,0.48989794855663565,0.0
Emile Smith Rowe,MID,Arsenal,53,0.19152313673680454,0.4898979485566356,0.0
Emiliano BuendÃ­a Stati,MID,Aston Villa,57,0.0,0.0,0.0
Emiliano Marcondes,MID,Bournemouth,43,0.0,0.0,0.0
Emmanuel Dennis,FWD,Nott'm Forest,48,0.0,0.0,0.0
Enock Agyei,MID,Burnley,42,0.0,0.0,0.0
Enso GonzÃ¡lez,MID,Wolves,50,0.0,0.0,0.0
Eric Bailly,DEF,Man Utd,40,0.0,0.0,0.0
Eric Dier,DEF,Spurs,42,0.00036736786006567656,0.0,0.0
Ethan Ampadu,DEF,Chelsea,40,0.0,0.0,0.0
Ethan Brierley,MID,Brentford,45,0.0,0.0,0.0
Ethan Horvath,GK,Nott'm Forest,43,0.0,0.0,0.0
Ethan Nwaneri,MID,Arsenal,45,0.06952675472262146,0.4,0.0
Ethan Pinnock,DEF,Brentford,45,0.11219672044356843,0.0,0.0
Evan Ferguson,FWD,Brighton,58,1.1077688234097118,0.4898979485566356,0.0
Ezri Konsa Ngoyo,DEF,Aston Villa,45,1.5690859006646847,0.7483314773547882,0.0
Fabian Mrozek,GK,Liverpool,40,0.0,0.0,0.0
Fabio Henrique Tavares,MID,Liverpool,50,0.0,0.0,0.0
Facundo Buonanotte,MID,Brighton,47,1.090115475415797,2.4979991993593593,0.0
Facundo Pellistri Rebollo,MID,Man Utd,42,5.770368457527989e-05,0.0,0.0
Femi Seriki,DEF,Sheffield Utd,39,0.0,0.0,0.0
Filip Marschall,GK,Aston Villa,40,0.0,0.0,0.0
Flynn Downes,MID,West Ham,50,0.0,0.0,0.0
FodÃ© Ballo-TourÃ©,DEF,Fulham,45,0.004174079491884386,0.0,0.0
Folarin Balogun,FWD,Arsenal,44,0.0,0.0,0.0
Francisco Jorge TomÃ¡s Oliveira,MID,Wolves,45,0.0,0.0,0.0
Franco Umeh-Chibueze,FWD,Crystal Palace,45,0.0,0.0,0.0
Frank Onyeka,MID,Brentford,49,1.4023438197417066,1.3564659966250536,0.0
Fraser Forster,GK,Spurs,38,0.0,0.0,0.0
Fred Onyedinma,MID,Luton,50,0.0,0.0,0.0
Frederico Rodrigues de Paula Santos,MID,Man Utd,50,0.0,0.0,0.0
FÃ¡bio Ferreira Vieira,MID,Arsenal,54,0.17456305733194383,0.4,0.0
FÃ¡bio Silva,FWD,Wolves,52,3.864497454279405e-09,0.0,0.0
Gabriel Fernando de Jesus,FWD,Arsenal,78,0.8316988879809826,0.4898979485566356,0.0
Gabriel Osho,DEF,Luton,44,0.22489040474024968,0.8,0.0
Gabriel SÅonina,GK,Chelsea,40,0.0,0.0,0.0
Garang Kuol,MID,Newcastle,45,0.0,0.0,0.0
Gavin Kilkenny,MID,Bournemouth,43,0.0,0.0,0.0
George Baldock,DEF,Sheffield Utd,38,0.7394023578341495,0.4898979485566356,0.0
George Earthy,MID,West Ham,45,0.0,0.0,0.0
George Shelvey,GK,Nott'm Forest,39,0.0,0.0,0.0
Gianluca Scamacca,FWD,West Ham,60,0.0,0.0,0.0
Giovani Lo Celso,MID,Spurs,48,1.0006097825252276,0.4898979485566356,0.0
Giovanni Reyna,MID,Nott'm Forest,47,0.13331990803630642,0.4,0.0
Giulian Biancone,DEF,Nott'm Forest,39,0.0,0.0,0.0
Glen Rea,MID,Luton,44,0.0,0.0,0.0
Gonzalo Montiel,DEF,Nott'm Forest,44,0.10614477191073486,0.0,0.0
GonÃ§alo Manuel Ganchinho Guedes,MID,Wolves,54,0.0,0.0,0.0
Granit Xhaka,MID,Arsenal,60,0.0,0.0,0.0
